host_id,host_name,host_since,host_is_superhost,host_listings_count
1182382,Sharon,9/19/2011,f,1
1246229,Elizabeth,10/4/2011,f,4
1250939,Kerry,10/5/2011,t,4
1298575,Gloria,10/16/2011,f,1
1208485,Caitlin,9/25/2011,t,2
1418696,Kelsey,11/17/2011,f,1
746455,Michael,6/26/2011,f,2
1471597,Teresa,12/4/2011,f,1
1523587,Dallas,12/21/2011,f,20
1282837,Joseph,10/12/2011,t,3
167892,Veronica,7/15/2010,t,2
1566930,Chris,1/4/2012,t,0
1568741,Jim O',1/5/2012,t,15
1614097,Denise,1/16/2012,f,1
1617870,John,1/17/2012,f,1
1626165,Gretchen,1/19/2012,f,1
814883,Kristen,7/13/2011,t,13
1640158,Jeremy,1/22/2012,f,1
1640172,Gary,1/22/2012,t,2
1641993,Stephanie,1/23/2012,f,1
1644741,Liz,1/23/2012,f,1
1647037,Sara,1/24/2012,f,2
1142525,James,9/11/2011,f,1
3797734,Leslie And Dylan,10/8/2012,f,1
1654178,Erik & Crystal,1/26/2012,f,1
1660476,Mark,1/27/2012,f,0
1666874,Abbie & Brian,1/29/2012,f,2
1665442,Lionel & Beth,1/28/2012,t,1
1680871,Janet,1/31/2012,f,1
880571,Angel,7/27/2011,t,6
1685125,Janet,2/1/2012,f,2
1690383,Sandra,2/2/2012,f,1
1697428,Ashly,2/4/2012,f,1
1698318,Virginia,2/4/2012,t,1
1700729,Larry And Joanna,2/5/2012,f,1
608539,D,5/20/2011,f,1
1707903,Stephen,2/6/2012,f,1
261883,Carolyn,10/14/2010,f,1
1714022,Jessica,2/7/2012,t,1
1143953,Linda And Lia,9/11/2011,t,1
1725752,Shanti,2/9/2012,f,1
531267,Shelley,4/24/2011,t,6
4569,Glory,11/24/2008,f,1
1205884,Luke And Rachel,9/25/2011,f,1
1733004,Julie,2/10/2012,t,1
1736662,Teresa,2/11/2012,f,1
1739997,Gabrielle,2/12/2012,f,1
1742984,Rachel,2/13/2012,f,2
1744639,Darcy,2/13/2012,f,1
1644218,Cecily,1/23/2012,t,2
1751224,Whitney,2/14/2012,t,1
1752493,Gigi,2/14/2012,t,3
1755933,Janine,2/15/2012,f,1
1761506,Doug & Savanna,2/16/2012,t,2
1761915,Charm,2/16/2012,t,2
1763086,Debbie,2/16/2012,t,1
1763742,Amber,2/17/2012,f,1
1975748,Meredith,3/20/2012,f,5
1771402,Cindie,2/18/2012,f,1
1782559,Julie,2/20/2012,f,1
1788349,Jeannie,2/21/2012,t,2
1789494,Lara,2/21/2012,t,1
1792021,Mykel,2/22/2012,f,1
1795232,Sara,2/22/2012,f,1
1795524,Sarah,2/22/2012,t,1
2049988,Mike,4/1/2012,f,1
1798140,Scott,2/23/2012,f,1
1798084,Jeffrey,2/23/2012,f,1
1798834,Joan,2/23/2012,f,1
1801114,An,2/23/2012,f,1
1805253,Trey,2/24/2012,f,1
1805524,Jai,2/24/2012,f,1
1806205,Varun,2/25/2012,f,3
1809146,David,2/25/2012,f,1
1808807,Renee,2/25/2012,t,4
1812799,Monica,2/26/2012,t,1
1815367,Kathy,2/26/2012,f,1
1831617,Chris,2/29/2012,f,1
1832618,Robert,2/29/2012,t,1
213651,Daniel,8/26/2010,t,2
1840480,Scott And Sally,3/1/2012,t,9
1839064,Adriana,3/1/2012,f,1
871765,Bruce,7/26/2011,f,1
1845598,D.K.,3/2/2012,t,1
1488733,Vacasa Texas,12/9/2011,t,30
1854873,Alex,3/4/2012,t,1
1855238,Caroline,3/4/2012,t,1
1856695,John,3/4/2012,f,1
1858184,Carlos,3/4/2012,f,0
1861886,Sarah,3/5/2012,f,1
1887493,Susan,3/8/2012,f,4
1929911,Ernest,3/15/2012,f,1
1652515,Cynthia,1/25/2012,t,1
1726978,Benjamin,2/9/2012,f,2
1275188,Susie & Eoin,10/11/2011,t,1
2141281,Melanie,4/14/2012,f,2
2177425,Aga & B,4/19/2012,f,2
2200336,Gretchen,4/23/2012,t,1
1021729,Nita,8/25/2011,f,2
2354063,Marit,5/12/2012,f,0
1918269,Amanda,3/13/2012,t,3
2402591,Jane,5/17/2012,t,1
2476440,Michelle,5/27/2012,t,2
793021,Steve,7/8/2011,t,1
2546917,Clint,6/4/2012,f,1
2546775,Rice,6/4/2012,t,1
2567934,Alexis,6/6/2012,t,1
2507231,Kris,5/31/2012,t,2
2595932,Amber,6/10/2012,t,2
2484820,Sheila,5/28/2012,f,2
2457470,Sharon,5/24/2012,t,2
4335991,Karen,12/5/2012,t,5
2771838,Pamela,6/28/2012,f,1
16872,Melissa,5/12/2009,f,2
2839795,Margo,7/5/2012,t,1
2773345,Mary,6/28/2012,f,2
7976770,Andrew,8/6/2013,t,4
2927288,Tracy,7/13/2012,t,2
1280071,Alexis,10/12/2011,f,1
2546033,Adam,6/4/2012,t,1
10615,Simon,3/18/2009,t,2
2989106,Janet,7/19/2012,f,1
806961,Jim,7/11/2011,t,3
437941,Amy,3/12/2011,f,1
2436512,Crystal,5/22/2012,t,8
3147504,Michelle,8/3/2012,t,2
3158297,Tanner,8/4/2012,f,1
3179679,Jaz,8/6/2012,f,1
3222157,Tracey,8/10/2012,t,1
2076136,Kathleen,4/5/2012,t,3
3262147,Perry,8/14/2012,f,1
2831971,Fred And Kellner,7/4/2012,t,2
3333277,Gisela,8/21/2012,t,2
3343870,Brandon,8/22/2012,f,1
265070,Lata,10/18/2010,t,2
2885190,John & Carol,7/9/2012,f,1
2174080,Jose,4/19/2012,f,1
3484128,Chad,9/5/2012,f,1
3495665,Laura,9/6/2012,f,1
3509782,Meaghan,9/8/2012,f,1
3539325,Garret,9/11/2012,t,3
3547591,Alana,9/12/2012,f,1
3579720,Ryan,9/16/2012,f,1
3584580,Katherine,9/16/2012,f,3
3587826,David,9/16/2012,f,1
2697403,Sabrina,6/20/2012,f,1
3598921,David,9/17/2012,f,1
2207307,Elizabeth & Mike,4/23/2012,t,1
1376031,Whitney,11/6/2011,f,1
3605974,Courtney,9/18/2012,f,1
3608356,Larry,9/18/2012,t,1
3614096,Leah,9/19/2012,f,1
3619116,Amy,9/19/2012,f,1
3626574,Bill,9/20/2012,t,3
3633458,Brent,9/21/2012,f,1
1208231,Nadia,9/25/2011,f,1
3659932,Ken,9/24/2012,f,2
3677807,Mandy,9/26/2012,f,1
3295530,Susan,8/18/2012,f,1
3600437,Jake,9/18/2012,t,1
1024679,Bridget,8/26/2011,f,1
3696936,Mike,9/27/2012,t,1
3718168,Caren,9/30/2012,t,1
3742380,Paola,10/3/2012,t,1
3787052,Carol,10/7/2012,f,1
3803498,Arnie,10/8/2012,f,1
3820555,Justin&Becca,10/10/2012,t,2
3787962,Deena,10/7/2012,t,1
3837842,Catherine,10/11/2012,f,1
3005855,Tami,7/21/2012,f,1
3842544,Laura,10/11/2012,t,1
2862517,Robert,7/7/2012,t,2
3817606,Susanna,10/9/2012,f,1
3901622,James,10/17/2012,f,2
3924382,Phillip,10/19/2012,t,1
3948329,James,10/22/2012,f,1
3827132,James,10/10/2012,t,1
4005799,Gabe,10/29/2012,f,2
11762795,Mandi,1/29/2014,f,2
1795217,Stan,2/22/2012,t,2
4022974,Mary K.,10/31/2012,f,1
4033615,Karen,11/1/2012,f,1
4035868,Carolyn,11/1/2012,t,2
4070275,Daniel,11/5/2012,f,1
1132515,Rick,9/9/2011,f,0
2438977,David,5/22/2012,f,1
4094351,Patrick,11/8/2012,f,1
1101753,John & Tina,9/2/2011,t,1
974631,Austin,8/15/2011,f,18
4143759,Katy & Rick,11/13/2012,t,1
4162906,"Edward ""Jack""",11/15/2012,f,1
4218754,Jana,11/22/2012,t,2
2762526,Moya,6/27/2012,f,2
4307740,Nancy,12/2/2012,t,1
1925259,Carmen,3/14/2012,f,1
889533,Sandra,7/29/2011,f,1
4421865,Tina,12/16/2012,t,1
3354999,Mollie,8/23/2012,t,1
4506424,Abby,12/27/2012,f,1
245617,Peter,9/26/2010,f,1
4555015,Francis,1/2/2013,f,1
4160337,Amenity,11/15/2012,f,1
582827,Troy,5/12/2011,t,2
4681431,Susan,1/13/2013,f,1
4704158,Matt & Ali,1/14/2013,t,2
4725234,Roman,1/16/2013,t,2
3757314,Kathy,10/4/2012,f,1
4740421,Dan & Erin,1/17/2013,t,1
4753546,Paprika,1/18/2013,t,4
3701946,Kristin,9/28/2012,f,1
4808690,Leigh,1/22/2013,f,1
1772568,David,2/19/2012,f,1
1163788,Olivia,9/15/2011,t,6
4868171,Bill,1/27/2013,f,1
4882441,Valentina,1/28/2013,f,4
4886183,Salvador,1/28/2013,f,1
4893298,Mary,1/29/2013,t,4
4912454,Ishrat,1/30/2013,t,2
1862183,Kindal,3/5/2012,f,1
1752578,Kerstin,2/14/2012,f,0
4918228,Kevin,1/31/2013,t,1
4929310,Ryan,2/1/2013,f,36
4094761,Laura,11/8/2012,t,2
4932225,Matt,2/1/2013,f,1
4933902,Lauren & Andrew,2/1/2013,f,1
4964070,Michael,2/4/2013,f,1
4981882,Jim,2/5/2013,f,1
3175045,Ryan,8/6/2012,f,1
412711,Niles,2/27/2011,t,1
4980115,Matthew,2/5/2013,f,1
5004628,Lauren,2/7/2013,f,1
3758683,Ken,10/4/2012,f,3
5008436,Susie,2/7/2013,f,1
3084105,Terry,7/28/2012,f,1
1335409,Eric,10/25/2011,f,2
5037631,Mark & Monica,2/10/2013,t,1
5041228,Andrea,2/10/2013,f,1
2121044,J,4/11/2012,f,2
5059228,Haley And Raul,2/12/2013,f,1
230553,Sevylla,9/10/2010,t,2
5097393,Jonas,2/15/2013,f,1
3536176,David,9/11/2012,f,1
5099514,Puru,2/15/2013,f,1
1343838,Guadalupe,10/27/2011,t,2
5104710,Mark,2/16/2013,f,1
5105777,Angie & Kurt,2/16/2013,f,0
5122558,Scott,2/17/2013,f,1
601159,Mychal,5/18/2011,f,1
5130794,Rob,2/18/2013,f,1
5134988,Ben,2/18/2013,f,1
5144358,Paul,2/19/2013,f,1
5152543,Marcella,2/19/2013,t,1
1648173,Kristen,1/24/2012,t,1
5173278,Luis,2/21/2013,f,0
5181843,Amy,2/22/2013,t,1
5192335,Chloe,2/23/2013,t,1
5202192,Patrick And Michele,2/23/2013,f,0
5206723,Jeannette,2/24/2013,f,1
3828170,Donna,10/10/2012,f,2
2852262,Kate,7/6/2012,t,2
5215945,John And Melissa,2/24/2013,t,1
4717260,Tony,1/15/2013,t,2
4845892,Willard,1/25/2013,f,1
3389824,Raquel + Jacob,8/27/2012,f,3
5257304,Lauren,2/27/2013,f,2
5272754,Clay,3/1/2013,f,1
5288195,Jim,3/2/2013,f,1
5289039,Christina,3/2/2013,t,1
169512,Charlotte,7/17/2010,t,6
5319009,Allix,3/4/2013,f,1
5323769,Kendel,3/4/2013,f,1
266202,Arif,10/19/2010,t,1
5350399,Chris,3/6/2013,f,3
5352009,Daniel,3/6/2013,f,1
5356163,Benjamin,3/6/2013,f,2
2851885,Bart,7/6/2012,t,1
5367671,Jeremy,3/7/2013,t,3
4255546,Matt,11/26/2012,f,1
5363972,Angela,3/7/2013,f,1
1726785,Sid,2/9/2012,t,6
5411754,Jason,3/11/2013,f,1
4666240,Douglas,1/11/2013,f,2
5473957,Susanna,3/15/2013,t,1
6386445,Nan,5/14/2013,t,3
5467931,Jennifer,3/14/2013,t,1
5509090,Ben,3/18/2013,f,1
5575763,Yvonne & Cameron,3/22/2013,t,1
5620519,Steve,3/25/2013,t,1
5641001,Blair,3/26/2013,t,1
5694515,Suzanne,3/30/2013,f,1
5742468,Marisse,4/2/2013,f,1
422589,John,3/4/2011,f,1
1822421,Sandra,2/27/2012,f,1
6090278,Tim,4/25/2013,t,2
5920345,Anique,4/14/2013,t,1
6182474,Ashley,5/1/2013,t,2
6229799,Yoav,5/4/2013,f,1
6109200,Adeola,4/26/2013,f,1
802614,Amit,7/10/2011,t,4
5766765,Holly,4/4/2013,f,2
6469089,Jeff,5/19/2013,t,1
6458257,Marty,5/18/2013,f,1
6590859,Susan,5/26/2013,t,1
997756,Christina,8/20/2011,f,1
5446383,Chris,3/13/2013,t,1
427519,Anne,3/7/2011,t,1
5722891,Top Trip Rentals,4/1/2013,f,1
4035731,Matt & Amy,11/1/2012,t,3
1742462,Jacob,2/12/2012,f,1
7090261,Brendan,6/24/2013,f,1
739362,Barbara,6/24/2011,t,6
7281438,Lawrence,7/4/2013,t,2
7284062,Anita,7/4/2013,t,2
1739801,Terry,2/12/2012,f,12
7323557,Katie,7/6/2013,t,1
6333125,Cheasty,5/11/2013,f,1
7547072,Kathleen,7/17/2013,f,1
7737534,Mario,7/26/2013,f,0
6932708,Blake,6/15/2013,f,0
7764443,Joyce,7/27/2013,t,4
740347,Chris,6/24/2011,t,2
7857883,Steve,7/31/2013,t,1
8014187,Shannon,8/7/2013,t,2
8026447,Peter,8/8/2013,t,1
8054740,Christopher,8/9/2013,t,1
8187341,Natalya,8/15/2013,t,3
8221829,Dan,8/17/2013,f,1
5648290,Mike,3/27/2013,f,2
8368983,Albert & Meg,8/24/2013,f,1
8223285,Ronald,8/17/2013,f,1
8384474,Erin,8/25/2013,t,1
8395205,Andrew,8/25/2013,f,1
8402421,Andy,8/26/2013,t,7
6591320,Mary-Margaret,5/26/2013,f,1
3264154,Sharon,8/15/2012,t,1
8289500,Desirae,8/20/2013,f,1
8495321,Rebecca,8/28/2013,t,1
1409844,Lakshmi,11/15/2011,f,1
5138696,Jodi,2/18/2013,t,1
8510754,Heart,8/29/2013,t,4
172182,Brian & Leah,7/19/2010,t,6
5453757,Fran,3/13/2013,f,1
8584307,Nellie,9/2/2013,f,1
8612372,Martha,9/3/2013,f,1
8463840,Lawrence,8/27/2013,t,1
2672219,Stephen&Ramona,6/18/2012,f,1
1514891,Nell,12/18/2011,t,1
8708918,Jamie And Aja,9/8/2013,t,1
8716539,Eric & Erin,9/8/2013,t,1
6659104,Tiffany,5/30/2013,f,5
8771676,Julia (And Johnny),9/11/2013,f,1
5190127,Anais,2/22/2013,f,1
8816698,Michelle,9/13/2013,t,2
8833810,Aaron,9/14/2013,f,1
2492382,Samuel,5/29/2012,f,1
6253447,Karen,5/6/2013,t,2
8874960,Tatiana,9/16/2013,f,1
18253226,Stay Local Austin,7/17/2014,t,23
8898766,Wendy,9/17/2013,f,1
8967238,Heidi,9/21/2013,t,1
8973365,Inger,9/21/2013,t,1
1232812,Brian And Meredith,10/1/2011,f,1
8428581,Brunson,8/26/2013,t,1
175669,Rachel,7/21/2010,f,2
9005567,Lori,9/23/2013,f,3
2293378,Kc,5/4/2012,t,5
9031314,Dylan,9/24/2013,f,1
9053200,Linda,9/25/2013,f,1
4150951,Tony,11/14/2012,f,2
9035884,Elissa,9/24/2013,f,1
9093395,Cody,9/27/2013,f,2
4435121,Forrest,12/18/2012,f,1
8142606,Martha Elena,8/13/2013,f,2
9123693,Joy,9/29/2013,f,2
5110394,Erik & Kara,2/16/2013,f,1
1628864,Michael & Luz,1/19/2012,t,1
8219026,Benjamin,8/17/2013,f,3
7612091,Harvey,7/20/2013,f,1
8752986,Alex,9/10/2013,f,1
7637276,Steven,7/22/2013,t,2
9419950,Wade,10/14/2013,t,1
8634478,Jennifer,9/4/2013,f,1
9454445,Jordana,10/16/2013,f,1
9463145,Joi,10/16/2013,t,2
9506147,Justin,10/18/2013,f,1
1827958,Bryce And Rachael,2/28/2012,t,3
1714345,Ginger,2/7/2012,t,2
9555506,Paige,10/21/2013,f,1
8650410,Bill,9/5/2013,f,1
574394,Theresa,5/10/2011,t,2
9576720,Tracen,10/22/2013,t,3
9601914,The Yerkovich,10/23/2013,f,2
5502116,Trey,3/17/2013,f,1
9666649,Robert And Inge,10/27/2013,f,1
9678761,Austen,10/28/2013,f,1
9075763,Miles,9/26/2013,f,1
3752014,Kirsten,10/3/2012,f,4
9704934,Shawna,10/29/2013,t,1
9728400,Justin,10/30/2013,f,1
3715137,Melissa,9/30/2012,t,1
61292,Jeany And Mose,12/8/2009,t,2
1822593,Alexa,2/27/2012,t,0
9797006,Russell,11/3/2013,f,1
8597490,Sharon,9/3/2013,t,1
3730648,Benjamin,10/1/2012,t,2
9586902,Mathew,10/23/2013,f,1
9988390,G Scott,11/13/2013,f,1
1421618,Diana,11/18/2011,f,4
5279293,Frank And Katie,3/1/2013,t,2
4018268,Bradley,10/30/2012,t,2
10016864,Robert,11/14/2013,f,1
5428198,Alan,3/12/2013,f,1
10098752,Todd & Laura,11/18/2013,t,1
890453,Vyjayanthi,7/29/2011,f,1
10293287,Ann,11/27/2013,t,6
408793,Jason,2/24/2011,f,16
10381875,Patricia,12/2/2013,f,1
10487205,Kirk And Linley,12/7/2013,f,1
10500741,Molly,12/8/2013,f,1
10503694,Christina,12/8/2013,t,1
1518835,Russ,12/19/2011,f,2
4952321,Jami,2/3/2013,f,1
10617942,Mike,12/14/2013,f,2
10808015,Barbara,12/25/2013,f,1
3538703,Mike,9/11/2012,t,10
1609994,Brennen & Sierra,1/15/2012,f,1
10960502,Scarlett,1/2/2014,f,1
1681866,Allyson,2/1/2012,f,2
413801,Alex,2/28/2011,t,1
5106595,Mary,2/16/2013,f,1
750379,Teresa & Rino,6/27/2011,f,1
247600,Danielle,9/28/2010,f,2
11152728,Jon,1/9/2014,f,1
11167488,Timothy,1/10/2014,f,0
11215879,Barton,1/11/2014,t,1
11242043,Jennifer,1/12/2014,f,1
11263914,David,1/13/2014,t,3
11278384,Colin,1/13/2014,t,2
1981922,Silvia,3/21/2012,f,2
11366658,Atif,1/16/2014,f,1
11367937,Steph,1/16/2014,f,1
11387520,John,1/17/2014,f,1
11421571,Curtis,1/18/2014,f,1
11461646,Loren,1/19/2014,f,1
627048,Lisa,5/25/2011,f,1
11512921,Hollis,1/21/2014,f,1
11514096,Cynthia & Bobby,1/21/2014,t,1
8669707,Melissa,9/6/2013,t,1
7473565,Arden,7/14/2013,f,1
8514132,Lauren,8/29/2013,f,1
1507234,Kristine,12/15/2011,t,1
11602302,Michelle,1/24/2014,f,1
11606005,Michael,1/24/2014,t,2
9060478,Christina,9/25/2013,f,1
11655380,Jean,1/26/2014,t,1
11710972,David,1/27/2014,t,2
387916,Caitlin,2/11/2011,f,2
2655102,Rockie,6/16/2012,f,1
8306988,Zach,8/21/2013,f,1
11795334,Holly,1/30/2014,f,1
1642301,Charles And Sarah,1/23/2012,f,1
11802966,Tobin,1/30/2014,f,1
10793384,Seth,12/24/2013,f,1
11838303,Carol,2/1/2014,f,1
11863622,Jon + Laura,2/2/2014,f,1
11878285,Nick,2/2/2014,f,1
11881904,Ben,2/2/2014,f,1
7656817,Derrick,7/22/2013,f,1
11915921,Whitney,2/3/2014,f,1
11932614,Mari And Danny,2/4/2014,t,1
11936920,Justin,2/4/2014,f,1
11951537,Jill,2/4/2014,f,1
11975520,Ivy,2/5/2014,f,1
11979558,Beth,2/5/2014,f,1
11981626,Amy,2/5/2014,f,1
11997337,Jon,2/6/2014,t,1
11941499,Chudala,2/4/2014,f,2
12026312,Cotton,2/7/2014,f,1
1093564,Travis,8/31/2011,f,1
9196522,Jaquelyn,10/2/2013,f,1
12033240,Valentina,2/7/2014,f,1
12036969,Linda,2/7/2014,f,1
574218,Matthew,5/10/2011,t,0
12052171,Ellen,2/8/2014,f,2
12060497,Allison,2/8/2014,f,1
12063965,Michael,2/8/2014,f,1
860438,Charlotte,7/24/2011,f,1
3197761,Sebastian,8/8/2012,f,1
11980126,David,2/5/2014,f,1
12100711,Jason,2/10/2014,t,1
12127926,Henry,2/10/2014,f,1
11904726,Sarah,2/3/2014,f,4
1821807,Mike And Crystal,2/27/2012,f,1
12145106,Elizabeth,2/11/2014,t,1
768835,Wendy,7/2/2011,f,1
1878090,Anna,3/7/2012,f,1
12163791,Ben,2/11/2014,f,0
12165478,Roberto,2/11/2014,f,1
5005633,James,2/7/2013,f,1
1972732,Katherine,3/20/2012,f,0
12179673,JoAnn,2/12/2014,f,1
12180722,Gabrielle,2/12/2014,f,1
12182520,Olivia,2/12/2014,f,1
10172735,Ryan,11/21/2013,f,1
8354530,Pat,8/23/2013,f,1
12191357,Kieu,2/12/2014,f,1
1674764,Carol,1/30/2012,f,1
12206063,Hillarey,2/13/2014,f,1
12212172,Nicholas,2/13/2014,t,1
10895151,Parker,12/29/2013,f,1
1991877,Lemuel,3/22/2012,f,1
12234266,Aly,2/14/2014,f,1
5196648,Anthony & Hayley,2/23/2013,t,2
10678098,Brian,12/17/2013,f,1
12302442,Steve,2/16/2014,f,3
12303203,Regina & Family,2/16/2014,t,0
4250925,Reyna,11/26/2012,t,1
12319343,Rouzheen,2/17/2014,f,1
6216629,Carly,5/3/2013,f,1
3848423,Cory,10/12/2012,f,1
12356977,Karen,2/18/2014,t,3
7335335,Lorna,7/7/2013,t,2
11897676,Gale (Adriana),2/3/2014,t,3
12392398,Adriana,2/19/2014,f,1
12359889,Morgan,2/18/2014,f,1
12404478,Erika,2/19/2014,f,1
12208836,Patience,2/13/2014,f,1
12432655,Nicole,2/20/2014,t,1
10367253,Scott,12/1/2013,f,1
3273010,Anna,8/15/2012,f,1
12478149,Patrick,2/22/2014,f,1
12486058,Yvonne,2/22/2014,t,1
5216713,Krishnan,2/25/2013,f,1
243565,Dorothy And Mac,9/23/2010,t,2
12519642,Mike,2/23/2014,f,1
12534992,Chance,2/24/2014,f,1
12546820,Morgan,2/24/2014,f,1
12549104,Brandi,2/24/2014,f,1
12553403,Charlie,2/24/2014,f,1
1859696,Elva,3/5/2012,f,2
12574160,Nick,2/25/2014,f,1
6364170,Adriana,5/13/2013,f,2
5836852,Travis,4/8/2013,f,2
12584341,Jason,2/25/2014,f,1
12586038,Avery,2/25/2014,f,1
4285129,Kirsten,11/29/2012,f,1
12611274,Greg,2/26/2014,f,2
12435810,Auburn,2/21/2014,f,1
12616608,Stephanie,2/26/2014,f,1
12618573,Bevyn,2/26/2014,f,1
12655488,Jessica,2/27/2014,f,2
12657065,Christopher,2/28/2014,f,1
12668275,Sarah,2/28/2014,f,1
10016722,Michael,11/14/2013,t,0
921412,Lindsey,8/4/2011,f,1
12575764,Alyssa,2/25/2014,f,1
12703001,Karen,3/1/2014,f,1
12392861,Erin,2/19/2014,t,1
12584768,Blake,2/25/2014,f,2
965847,Stacy,8/13/2011,f,1
12736010,Steven,3/2/2014,f,1
5242228,Steve & Monica,2/26/2013,t,1
12761140,Brittany,3/3/2014,f,5
3655679,Nicole,9/23/2012,f,1
12778060,Adam,3/3/2014,f,1
12790145,Sean,3/4/2014,f,1
12790986,Jake,3/4/2014,f,1
12223312,Peter,2/13/2014,f,1
12801923,Will,3/4/2014,f,1
12806524,Paul,3/4/2014,t,2
12808722,Jw,3/4/2014,f,1
12122568,Brian,2/10/2014,f,1
12846473,Veronica,3/5/2014,f,1
12862327,Megan,3/6/2014,f,1
12874023,Chris,3/6/2014,f,1
2961708,Joe,7/17/2012,f,1
7025084,Trevor,6/20/2013,f,1
9599503,Billy,10/23/2013,t,1
5839290,Ron,4/9/2013,f,1
12908793,Alan,3/7/2014,f,1
12923614,Laura,3/8/2014,f,1
5091069,Rachel And Drew,2/14/2013,f,1
12931899,Molly,3/8/2014,f,1
12951616,Kit,3/9/2014,f,1
13035711,Stephanie,3/11/2014,f,1
13040118,Edward,3/11/2014,t,1
13061865,Jacy,3/12/2014,f,1
1844303,Genny,3/2/2012,f,2
13088390,Phu,3/13/2014,f,1
1834167,Grace Marie,2/29/2012,f,3
13281188,Benjamin,3/18/2014,f,1
13569418,Nathan,3/26/2014,t,1
10010707,Francene,11/14/2013,t,1
13208189,Manuel,3/17/2014,f,1
13645041,Ashley,3/28/2014,f,1
13710115,Will,3/30/2014,f,1
579290,Jay,5/11/2011,f,21
13898735,Vanessa,4/4/2014,t,1
13934159,Katie,4/5/2014,f,1
14001503,Ramona,4/7/2014,f,1
376422,Derek,2/3/2011,t,2
14187294,Jay,4/12/2014,f,1
7440744,Jenny,7/12/2013,t,3
14747714,Carrye,4/26/2014,t,1
3394736,Eric,8/27/2012,f,1
6924506,Olivia,6/15/2013,f,1
15119022,Katherine,5/5/2014,f,1
7041918,Mitch,6/21/2013,t,1
15194905,Michelle,5/6/2014,f,1
15219795,Cynthia,5/7/2014,t,8
15242429,Jen,5/7/2014,f,1
7567467,Chalu,7/18/2013,t,4
1634035,Mike,1/21/2012,t,1
386263,Vineet,2/10/2011,f,5
15422517,Jennifer,5/12/2014,f,1
14613487,Susana,4/22/2014,f,1
12039578,Micki,2/7/2014,f,2
4870151,Rachel,1/27/2013,t,3
15782486,Lodgewell,5/20/2014,f,42
3947597,Chad,10/22/2012,f,1
2719428,Kaleigh,6/23/2012,f,2
412855,Robin,2/27/2011,t,1
16047277,Mireille,5/27/2014,f,20
16243944,Lisa,6/1/2014,f,2
16350192,Kimberly,6/3/2014,t,1
